# Created by create_gmm.py, IMP.isd version 2.10.1
# data_fn: ../data/em/Ciferri_CEM_PRC2.map.mrc
# ncenters: 50
# covar_type: 'full'
# apix: 1.0
# num_samples: 1000000
# num_iter: 100
# threshold: 0.0
# force_radii: -1.0
# force_weight: -1.0
# force_weight_frac: False
# use_dirichlet: False
# multiply_by_mass: False
# chain: None
#|num|weight|mean|covariance matrix|
|0|0.020641641137952756|142.5219077806337 164.56139254014778 144.5245957957293|56.53276854171372 -11.101378661305999 0.20931324543338015 -11.101378661305999 44.93455806823905 -0.16385218632939313 0.20931324543337618 -0.16385218632939302 64.61003265778773|
|1|0.023237888644588974|253.116491985938 151.4811470941617 196.29416911097394|41.24315770153516 0.5429116838027105 6.5165751335545865 0.5429116838027106 69.84323334488528 -1.135044438797026 6.516575133554587 -1.1350444387970247 61.32715304202484|
|2|0.017459829092892534|171.00648932273307 150.90300607744206 193.65001062378425|91.60644696373394 27.04485126706547 -16.200673916509313 27.044851267065464 79.78931826792167 -14.202727753928755 -16.200673916509313 -14.202727753928762 87.33877172371912|
|3|0.02216619886548692|217.06643164391616 219.81568634397001 170.3819295445811|78.96352717913089 0.5306576921042028 -0.4507110659782436 0.5306576921042028 53.74648649316124 6.891287012702083 -0.45071106597824384 6.891287012702079 53.371779743494116|
|4|0.019441430254819047|156.01583701593333 210.79643690870685 202.2646897023123|57.6274370585768 -1.202950413516949 -2.736995828991955 -1.202950413516949 61.49015846478437 12.593476741380346 -2.736995828991954 12.593476741380346 51.26218195467904|
|5|0.019193507016371916|97.29727070418062 164.19694998563912 198.7555956001353|49.429321503436405 -13.39017707770854 15.11456585066341 -13.390177077708541 94.95194736968377 -4.153989080792989 15.114565850663414 -4.153989080792999 82.0445998588365|
|6|0.022603384736641488|238.40728452306595 211.69848358151043 206.50109715129742|51.13271914431171 5.903043646756927 5.074188002930882 5.903043646756927 56.63254190487531 9.841781945305927 5.074188002930882 9.841781945305932 60.65011613817865|
|7|0.027197277544482954|153.43590428918924 167.7961721722274 147.8074844167998|43.73346999822607 -7.529673050297666 5.837105152744096 -7.529673050297666 66.67109149984421 -4.878781218048079 5.837105152744096 -4.878781218048073 61.7178320589097|
|8|0.018463428131628913|201.28369711003467 122.86738078500512 199.4304863432908|97.2235851444592 -6.202108947207311 29.547413597106388 -6.202108947207311 54.070761981807415 -1.8375395317139915 29.547413597106388 -1.8375395317139942 62.82106746466474|
|9|0.017868634282375406|194.73857980409286 164.0582369867294 151.06813739578104|63.17719408293034 7.089797966913914 4.064137998733482 7.089797966913914 125.15116694780384 13.402555477698293 4.064137998733475 13.402555477698291 60.27221439256253|
|10|0.01866809264957413|189.5611941638047 190.55939911593967 177.29877649962873|48.674977512501634 10.157783488453171 -5.819521128292296 10.157783488453171 94.67400242275005 -12.528782048299227 -5.819521128292296 -12.528782048299234 109.56758970964307|
|11|0.018846543158236667|119.07329579216912 210.30673383608055 193.79853940852888|49.04145652213592 2.0339805337314947 -2.0242243878884008 2.0339805337314982 49.95390361092046 14.874533361065616 -2.0242243878884 14.874533361065616 67.27991399608693|
|12|0.015204573779057946|193.99080857396214 149.48592189315613 223.5491007442625|90.00873966669778 6.058885085789621 -20.63845561343805 6.058885085789617 54.569381360985545 -17.093904552823176 -20.638455613438047 -17.093904552823176 48.3667782831818|
|13|0.01913331955066522|129.2086686886236 200.92639495889566 163.99247470781674|101.14634217526608 12.522205445237791 -21.85696069665409 12.522205445237791 55.34433034571426 -2.458193918913306 -21.85696069665409 -2.458193918913313 61.58117691733689|
|14|0.024971787487385745|252.67454930150708 218.63907911429402 203.7291281982965|52.78811117256841 -20.429101008480757 5.868283824007214 -20.42910100848076 69.17368757287987 -14.750504913935828 5.868283824007214 -14.750504913935831 66.2302214812024|
|15|0.026020043825463347|106.17971365125905 156.44970223460123 185.07802937885913|71.83946207289061 -2.748773241596977 -4.582915473721499 -2.7487732415969752 57.803724491971224 -4.321350631748327 -4.582915473721499 -4.321350631748331 61.60628723817324|
|16|0.019402636713446303|197.53595619212308 133.86659821409208 184.10935018788373|75.8868676786097 2.8858473810774754 -4.916798616798124 2.8858473810774754 57.75993526810466 -10.766948070745347 -4.916798616798124 -10.766948070745347 45.83275239454452|
|17|0.02306770002619902|121.98156444530751 202.01142480298913 205.0197468498019|55.511045338435245 -3.23107298128219 2.1986033802048466 -3.23107298128219 57.81005143258541 21.305989559351467 2.1986033802048484 21.30598955935147 62.28464644874482|
|18|0.022500641599237592|141.31640689091594 170.259433474546 183.91763783839065|90.21881034301583 -3.056538034697663 19.084697238689326 -3.0565380346976596 84.78324092778078 -2.434743509080744 19.08469723868932 -2.4347435090807448 60.41977618258711|
|19|0.020440803652305453|140.39087111633322 191.65750293524377 170.9892327347132|79.34287765885176 16.480250558697023 -21.53163366418755 16.480250558697033 69.16313495199304 -6.584085888698279 -21.531633664187552 -6.584085888698276 65.986728855805|
|20|0.01735392492216438|206.4810257931814 177.8602213399631 166.45564921453314|73.05612226856658 0.3349414546479039 17.304785659155943 0.3349414546479039 76.79077627288368 -4.872806304406345 17.30478565915594 -4.872806304406343 132.05632973313837|
|21|0.01475971696009307|158.37247512549192 200.27459776620532 185.40133093767008|48.31396151783215 11.031861853271934 13.94219651760038 11.03186185327193 77.90184086518147 7.579786764992594 13.942196517600378 7.5797867649925985 66.28954208226318|
